,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14
t113,-2.0354285,-8.14535,22.048887,34.827953,28.508047,-6.3690023,-2.4504917,12.856715,20.421835,-2.511537,12.902523,-4.811908,-3.8730648,20.013243,13.464554
t21,-1.2410183,-6.5863624,15.308669,26.728199,21.856873,-4.580706,-1.9590431,12.102898,15.088424,-2.3486903,11.63487,-3.4125822,-2.3956263,16.438406,11.413176
t48,-1.9561539,-8.030005,21.648695,34.59439,28.219,-6.3648715,-2.670437,12.574548,20.377691,-2.219393,11.897354,-4.685495,-4.068483,19.312405,12.284531
t49,-1.851353,-7.799582,20.767063,33.056725,27.276625,-5.9854565,-2.5711057,12.6054735,19.833673,-2.2110026,11.854478,-4.428629,-3.7513204,18.859838,12.167095
t32,-1.9694706,-8.109142,22.100702,34.492443,28.237148,-6.243081,-2.575868,12.782601,20.486116,-2.284801,11.831703,-4.7142887,-3.9617212,19.471607,12.842701
t24,-1.2451029,-6.6685424,15.729668,27.337772,22.166065,-4.695519,-2.0753098,12.130946,15.354947,-2.2601852,11.476738,-3.4693038,-2.5582502,16.327631,11.307092
t64,-1.7987986,-7.786592,21.439383,33.810066,27.364681,-5.9779086,-2.4595711,12.4346695,19.54086,-2.1462898,11.572776,-4.6736116,-3.6619217,19.352596,12.5118065
t65,-1.7208353,-7.5694633,20.533924,32.677124,26.349651,-5.777516,-2.3515377,12.288411,18.781403,-2.1312826,11.852115,-4.4804473,-3.4170156,18.973156,12.295889
t57,-1.5037619,-7.157666,18.512526,30.327467,24.513023,-5.284127,-2.27548,12.15881,17.25528,-2.1114922,11.345736,-4.0459323,-3.046504,17.974316,11.902322
t58,-1.9947512,-8.040151,22.468124,34.87564,28.433296,-6.2578864,-2.6371167,12.293862,20.546282,-2.0913818,11.544506,-4.8504424,-3.9477613,19.89619,12.752314
t130,-1.8775443,-8.123946,22.15996,35.004642,28.17405,-6.1770473,-2.6169183,12.668907,20.477322,-2.2713478,12.059204,-4.681207,-3.9952862,20.20131,13.328645
t131,-1.8756701,-8.123188,22.151983,35.08587,28.210289,-6.172002,-2.6107545,12.689622,20.42551,-2.2755919,12.111314,-4.678196,-3.9983907,20.15343,13.307423
t106,-2.2709944,-8.632938,21.68353,30.290928,32.458755,-7.1398735,-3.2790782,15.453703,27.438921,-2.4621668,3.9347289,-4.428827,-5.8461733,17.33852,9.753027
t107,-2.2934043,-8.627929,21.779175,30.261261,32.53083,-7.126355,-3.2617161,15.436647,27.48029,-2.4559762,4.0422726,-4.4287705,-5.824774,17.49131,9.820547
t100,-2.2110085,-8.462284,21.138105,29.423258,31.80885,-6.9408107,-3.2121294,15.402457,26.806118,-2.4542384,3.9545672,-4.302584,-5.6458263,16.986176,9.635009
t128,-2.24378,-8.664045,20.605892,28.854647,33.497677,-7.1888704,-3.24666,15.935575,28.559868,-2.390526,2.9408333,-4.35448,-5.8355846,16.82719,9.105339
t129,-2.2441688,-8.65799,20.578661,28.893929,33.463345,-7.1884127,-3.2384286,15.825294,28.532024,-2.373175,3.001033,-4.3644977,-5.82867,16.85632,9.124603
t94,-2.2520301,-8.657066,20.653341,28.982954,33.573917,-7.174052,-3.238468,15.880118,28.345482,-2.380133,3.1780007,-4.3842406,-5.757875,16.957994,9.309284
t92,-2.22945,-8.67945,20.583002,29.025341,33.398636,-7.1809525,-3.2108376,15.731252,28.531048,-2.3615177,3.3257878,-4.3784328,-5.7477574,16.866768,9.225977
t136,-2.2456954,-8.663181,20.476114,28.907951,33.417465,-7.1769214,-3.2096841,15.696873,28.488787,-2.3752315,3.189832,-4.3684115,-5.7950797,16.936338,9.130582
