,accepted_species,Assigned_group,number_of_species_in_group
17358,Utania racemosa,Utania,1
17369,Vallaris solanacea,Vallaris,1
17373,Vallesia antillana,Vallesia,2
17376,Vallesia glabra,Vallesia,2
17397,Vangueria agrestis,Vangueria,2
17403,Vangueria infausta,Vangueria,2
17404,Veratrilla baillonii,Veratrilla,1
17411,Vinca difformis,Vinca,5
17429,Vinca erecta,Vinca,5
17492,Vinca herbacea,Vinca,5
17528,Vinca major,Vinca,5
17570,Vinca minor,Vinca,5
17619,Vincetoxicum amplexicaule,Vincetoxicum,26
17631,Vincetoxicum ascyrifolium,Vincetoxicum,26
17636,Vincetoxicum atratum,Vincetoxicum,26
17686,Vincetoxicum auriculatum,Vincetoxicum,26
17697,Vincetoxicum floribundum,Vincetoxicum,26
17701,Vincetoxicum forrestii,Vincetoxicum,26
17717,Vincetoxicum glaucescens,Vincetoxicum,26
17727,Vincetoxicum hemsleyanum,Vincetoxicum,26
17736,Vincetoxicum hirsutum,Vincetoxicum,26
17765,Vincetoxicum hirundinaria,Vincetoxicum,26
17772,Vincetoxicum indicum,Vincetoxicum,26
17801,Vincetoxicum japonicum,Vincetoxicum,26
17820,Vincetoxicum kerrii,Vincetoxicum,26
17823,Vincetoxicum mongolicum,Vincetoxicum,26
17845,Vincetoxicum mukdenense,Vincetoxicum,26
17857,Vincetoxicum nigrum,Vincetoxicum,26
17858,Vincetoxicum paniculatum,Vincetoxicum,26
17860,Vincetoxicum polyanthum,Vincetoxicum,26
17863,Vincetoxicum scandens,Vincetoxicum,26
17874,Vincetoxicum shaanxiense,Vincetoxicum,26
17877,Vincetoxicum spirale,Vincetoxicum,26
17878,Vincetoxicum stauntonii,Vincetoxicum,26
17885,Vincetoxicum sublanceolatum,Vincetoxicum,26
17919,Vincetoxicum sylvaticum,Vincetoxicum,26
17921,Vincetoxicum tanakae,Vincetoxicum,26
17944,Vincetoxicum versicolor,Vincetoxicum,26
17953,Voacanga africana,Voacanga,5
17994,Voacanga chalotiana,Voacanga,5
18009,Voacanga globosa,Voacanga,5
18011,Voacanga grandifolia,Voacanga,5
18017,Voacanga thouarsii,Voacanga,5
18030,Wendlandia formosana,Wendlandia,2
18032,Wendlandia tinctoria,Wendlandia,2
18039,Wrightia antidysenterica,Wrightia,5
18065,Wrightia arborea,Wrightia,5
18068,Wrightia pubescens,Wrightia,5
18070,Wrightia religiosa,Wrightia,5
18071,Wrightia tinctoria,Wrightia,5
18099,Xestaea lisianthoides,Xestaea,1
18108,Xysmalobium undulatum,Xysmalobium,1
18114,Zeltnera muehlenbergii,Zeltnera,1
