,accepted_family,Genus,accepted_species,accepted_species_w_author
8831,Apocynaceae,Kibatalia,Kibatalia laurifolia,Kibatalia laurifolia (Ridl.) Woodson
8839,Apocynaceae,Kibatalia,Kibatalia macrophylla,Kibatalia macrophylla (Pierre ex Hua) Woodson
8840,Apocynaceae,Kibatalia,Kibatalia maingayi,Kibatalia maingayi (Hook.f.) Woodson
8846,Rubiaceae,Knoxia,Knoxia roxburghii,Knoxia roxburghii (Spreng.) M.A.Rau
8851,Rubiaceae,Knoxia,Knoxia sumatrensis,Knoxia sumatrensis (Retz.) DC.
8853,Apocynaceae,Kopsia,Kopsia arborea,Kopsia arborea Blume
8961,Apocynaceae,Kopsia,Kopsia dasyrachis,Kopsia dasyrachis Ridl.
9011,Apocynaceae,Kopsia,Kopsia deverrei,Kopsia deverrei L.Allorge
9019,Apocynaceae,Kopsia,Kopsia flavida,Kopsia flavida Blume
9029,Apocynaceae,Kopsia,Kopsia fruticosa,Kopsia fruticosa (Roxb.) A.DC.
9056,Apocynaceae,Kopsia,Kopsia grandifolia,Kopsia grandifolia D.J.Middleton
9065,Apocynaceae,Kopsia,Kopsia griffithii,Kopsia griffithii King & Gamble
9094,Apocynaceae,Kopsia,Kopsia hainanensis,Kopsia hainanensis Tsiang
9112,Apocynaceae,Kopsia,Kopsia lapidilecta,Kopsia lapidilecta Sleesen
9117,Apocynaceae,Kopsia,Kopsia larutensis,Kopsia larutensis King & Gamble
9126,Apocynaceae,Kopsia,Kopsia macrophylla,Kopsia macrophylla Hook.f.
9132,Apocynaceae,Kopsia,Kopsia pauciflora,Kopsia pauciflora Hook.f.
9174,Apocynaceae,Kopsia,Kopsia profunda,Kopsia profunda Markgr.
9184,Apocynaceae,Kopsia,Kopsia singapurensis,Kopsia singapurensis Ridl.
9252,Apocynaceae,Kopsia,Kopsia tenuis,Kopsia tenuis Leenh. & Steems
9263,Apocynaceae,Kopsia,Kopsia teoi,Kopsia teoi L.Allorge
9302,Rubiaceae,Ladenbergia,Ladenbergia oblongifolia,Ladenbergia oblongifolia (Humb. ex Mutis) L.Andersson
9304,Rubiaceae,Lamprothamnus,Lamprothamnus zanguebaricus,Lamprothamnus zanguebaricus Hiern
9306,Rubiaceae,Lasianthus,Lasianthus acuminatissimus,Lasianthus acuminatissimus Merr.
9317,Rubiaceae,Lasianthus,Lasianthus attenuatus,Lasianthus attenuatus Jack
9319,Rubiaceae,Lasianthus,Lasianthus curtisii,Lasianthus curtisii King & Gamble
9320,Rubiaceae,Lasianthus,Lasianthus cyanocarpus,Lasianthus cyanocarpus Jack
9321,Rubiaceae,Lasianthus,Lasianthus fordii,Lasianthus fordii Hance
9330,Rubiaceae,Lasianthus,Lasianthus gardneri,Lasianthus gardneri (Thwaites) Hook.f.
9341,Rubiaceae,Lasianthus,Lasianthus obliquinervis,Lasianthus obliquinervis Merr.
9342,Apocynaceae,Leichhardtia,Leichhardtia rostrata,Leichhardtia rostrata (R.Br.) P.I.Forst.
9348,Rubiaceae,Leptactina,Leptactina densiflora,Leptactina densiflora Hook.f.
9349,Apocynaceae,Leptadenia,Leptadenia arborea,Leptadenia arborea (Forssk.) Schweinf.
9353,Apocynaceae,Leptadenia,Leptadenia lanceolata,Leptadenia lanceolata (Poir.) Goyder
9369,Apocynaceae,Leptadenia,Leptadenia madagascariensis,Leptadenia madagascariensis Decne.
9373,Apocynaceae,Leptadenia,Leptadenia pyrotechnica,Leptadenia pyrotechnica (Forssk.) Decne.
9390,Apocynaceae,Leptadenia,Leptadenia reticulata,Leptadenia reticulata (Retz.) Wight & Arn.
9392,Rubiaceae,Leptopetalum,Leptopetalum biflorum,Leptopetalum biflorum (L.) Neupane & N.Wikstr.
9405,Rubiaceae,Leptostigma,Leptostigma arnottianum,Leptostigma arnottianum Walp.
9406,Rubiaceae,Lerchea,Lerchea bracteata,Lerchea bracteata Valeton
9415,Apocynaceae,Leuconotis,Leuconotis eugeniifolia,Leuconotis eugeniifolia (Wall. ex G.Don) A.DC.
9417,Apocynaceae,Leuconotis,Leuconotis griffithii,Leuconotis griffithii Hook.f.
9462,Gentianaceae,Lisianthius,Lisianthius jefensis,Lisianthius jefensis A.Robyns & T.S.Elias
9463,Gentianaceae,Lisianthius,Lisianthius seemannii,Lisianthius seemannii (Griseb.) Kuntze
9464,Gentianaceae,Lomatogonium,Lomatogonium carinthiacum,Lomatogonium carinthiacum (Wulfen) A.Braun
9475,Gentianaceae,Lomatogonium,Lomatogonium rotatum,Lomatogonium rotatum (L.) Fr.
9480,Rubiaceae,Luculia,Luculia pinceana,Luculia pinceana Hook.
9485,Apocynaceae,Macoubea,Macoubea guianensis,Macoubea guianensis Aubl.
9487,Apocynaceae,Malouetia,Malouetia heudelotii,Malouetia heudelotii A.DC.
9489,Apocynaceae,Malouetia,Malouetia tamaquarina,Malouetia tamaquarina (Aubl.) A.DC.
9492,Apocynaceae,Mandevilla,Mandevilla hirsuta,Mandevilla hirsuta (Rich.) K.Schum.
9499,Apocynaceae,Mandevilla,Mandevilla illustris,Mandevilla illustris (Vell.) Woodson
9501,Apocynaceae,Mandevilla,Mandevilla martiana,Mandevilla martiana (Stadelm.) Woodson
9512,Apocynaceae,Mandevilla,Mandevilla pavonii,Mandevilla pavonii (A.DC.) Woodson
9518,Apocynaceae,Mandevilla,Mandevilla pentlandiana,Mandevilla pentlandiana (DC.) Woodson
9526,Apocynaceae,Marsdenia,Marsdenia formosana,Marsdenia formosana Masam.
9527,Apocynaceae,Marsdenia,Marsdenia hainanensis,Marsdenia hainanensis Tsiang
9530,Apocynaceae,Marsdenia,Marsdenia koi,Marsdenia koi Tsiang
9533,Apocynaceae,Marsdenia,Marsdenia oreophila,Marsdenia oreophila W.W.Sm.
9536,Apocynaceae,Marsdenia,Marsdenia roylei,Marsdenia roylei Wight
9545,Apocynaceae,Marsdenia,Marsdenia sinensis,Marsdenia sinensis Hemsl.
9547,Apocynaceae,Marsdenia,Marsdenia tomentosa,Marsdenia tomentosa C.Morren & Decne.
9585,Apocynaceae,Mascarenhasia,Mascarenhasia arborescens,Mascarenhasia arborescens A.DC.
9586,Apocynaceae,Matelea,Matelea carolinensis,Matelea carolinensis (Jacq.) Woodson
9615,Apocynaceae,Matelea,Matelea vailiana,Matelea vailiana Woodson
9617,Rubiaceae,Melanopsidium,Melanopsidium nigrum,Melanopsidium nigrum Colla
9621,Apocynaceae,Melodinus,Melodinus acutiflorus,Melodinus acutiflorus F.Muell.
9623,Apocynaceae,Melodinus,Melodinus aeneus,Melodinus aeneus Baill.
9636,Apocynaceae,Melodinus,Melodinus australis,Melodinus australis (F.Muell.) Pierre
9641,Apocynaceae,Melodinus,Melodinus axillaris,Melodinus axillaris W.T.Wang
9645,Apocynaceae,Melodinus,Melodinus balansae,Melodinus balansae Baill.
9659,Apocynaceae,Melodinus,Melodinus cochinchinensis,Melodinus cochinchinensis (Lour.) Merr.
9740,Apocynaceae,Melodinus,Melodinus fusiformis,Melodinus fusiformis Champ. ex Benth.
9790,Apocynaceae,Melodinus,Melodinus orientalis,Melodinus orientalis Blume
9791,Apocynaceae,Melodinus,Melodinus philliraeoides,Melodinus philliraeoides Labill.
9811,Apocynaceae,Melodinus,Melodinus reticulatus,Melodinus reticulatus Boiteau
9822,Apocynaceae,Melodinus,Melodinus scandens,Melodinus scandens J.R.Forst. & G.Forst.
9838,Apocynaceae,Melodinus,Melodinus tenuicaudatus,Melodinus tenuicaudatus Tsiang & P.T.Li
9856,Gentianaceae,Metagentiana,Metagentiana rhodantha,Metagentiana rhodantha (Franch.) T.N.Ho & S.W.Liu
9890,Rubiaceae,Mexotis,Mexotis latifolia,Mexotis latifolia (M.Martens & Galeotti) Terrell & H.Rob.
9892,Apocynaceae,Microplumeria,Microplumeria anomala,Microplumeria anomala (Müll.Arg.) Markgr.
9895,Rubiaceae,Mitchella,Mitchella repens,Mitchella repens L.
9902,Rubiaceae,Mitchella,Mitchella undulata,Mitchella undulata Siebold & Zucc.
9903,Rubiaceae,Mitracarpus,Mitracarpus hirtus,Mitracarpus hirtus (L.) DC.
9942,Rubiaceae,Mitragyna,Mitragyna ciliata,Mitragyna ciliata Aubrév. & Pellegr.
9943,Rubiaceae,Mitragyna,Mitragyna diversifolia,Mitragyna diversifolia (Wall. ex G.Don) Havil.
9952,Rubiaceae,Mitragyna,Mitragyna hirsuta,Mitragyna hirsuta Havil.
9971,Rubiaceae,Mitragyna,Mitragyna inermis,Mitragyna inermis (Willd.) Kuntze
9999,Rubiaceae,Mitragyna,Mitragyna parvifolia,Mitragyna parvifolia (Roxb.) Korth.
10010,Rubiaceae,Mitragyna,Mitragyna rotundifolia,Mitragyna rotundifolia (Roxb.) Kuntze
10026,Rubiaceae,Mitragyna,Mitragyna rubrostipulata,Mitragyna rubrostipulata (K.Schum.) Havil.
10031,Rubiaceae,Mitragyna,Mitragyna speciosa,Mitragyna speciosa Korth.
10077,Rubiaceae,Mitragyna,Mitragyna stipulosa,Mitragyna stipulosa (DC.) Kuntze
10094,Rubiaceae,Mitragyna,Mitragyna tubulosa,Mitragyna tubulosa (Arn.) K.Schum.
10098,Apocynaceae,Mondia,Mondia whitei,Mondia whitei (Hook.f.) Skeels
10123,Rubiaceae,Morinda,Morinda angustifolia,Morinda angustifolia Roxb.
10131,Rubiaceae,Morinda,Morinda citrifolia,Morinda citrifolia L.
10325,Rubiaceae,Morinda,Morinda coreia,Morinda coreia Buch.-Ham.
10344,Rubiaceae,Morinda,Morinda elliptica,Morinda elliptica (Hook.f.) Ridl.
10360,Rubiaceae,Morinda,Morinda longiflora,Morinda longiflora G.Don
10363,Rubiaceae,Morinda,Morinda lucida,Morinda lucida Benth.
10387,Rubiaceae,Morinda,Morinda morindoides,Morinda morindoides (Baker) Milne-Redh.
10417,Rubiaceae,Morinda,Morinda persicifolia,Morinda persicifolia Buch.-Ham.
10425,Rubiaceae,Morinda,Morinda tomentosa,Morinda tomentosa B.Heyne ex Roth
10428,Gelsemiaceae,Mostuea,Mostuea brunonis,Mostuea brunonis Didr.
10444,Rubiaceae,Mussaenda,Mussaenda hirsutissima,Mussaenda hirsutissima (Hook.f.) Hutch. ex Gamble
10452,Rubiaceae,Mussaenda,Mussaenda macrophylla,Mussaenda macrophylla Wall.
10463,Rubiaceae,Mussaenda,Mussaenda parviflora,Mussaenda parviflora Miq.
10467,Rubiaceae,Mussaenda,Mussaenda pubescens,Mussaenda pubescens Dryand.
10494,Rubiaceae,Mussaenda,Mussaenda shikokiana,Mussaenda shikokiana Makino
10498,Rubiaceae,Mycetia,Mycetia nutans,Mycetia nutans (R.Br. ex Kurz) Razafim. & B.Bremer
10507,Rubiaceae,Nauclea,Nauclea diderrichii,Nauclea diderrichii (De Wild.) Merr.
10536,Rubiaceae,Nauclea,Nauclea latifolia,Nauclea latifolia Sm.
10548,Rubiaceae,Nauclea,Nauclea officinalis,Nauclea officinalis (Pierre ex Pit.) Merr. & Chun
10565,Rubiaceae,Nauclea,Nauclea orientalis,Nauclea orientalis (L.) L.
10593,Rubiaceae,Nauclea,Nauclea parva,Nauclea parva (Havil.) Merr.
10594,Rubiaceae,Nauclea,Nauclea pobeguinii,Nauclea pobeguinii (Hua ex Pobég.) Merr.
10602,Rubiaceae,Neolamarckia,Neolamarckia cadamba,Neolamarckia cadamba (Roxb.) Bosser
10623,Rubiaceae,Neonauclea,Neonauclea calycina,Neonauclea calycina (Bartl. ex DC.) Merr.
10631,Rubiaceae,Neonauclea,Neonauclea media,Neonauclea media (Havil.) Merr.
10658,Rubiaceae,Neonauclea,Neonauclea purpurea,Neonauclea purpurea (Roxb.) Merr.
10674,Rubiaceae,Neonauclea,Neonauclea sessilifolia,Neonauclea sessilifolia (Roxb.) Merr.
10716,Apocynaceae,Nerium,Nerium oleander,Nerium oleander L.
10829,Rubiaceae,Nernstia,Nernstia mexicana,Nernstia mexicana (Zucc. & Mart. ex DC.) Urb.
10836,Rubiaceae,Notopleura,Notopleura camponutans,Notopleura camponutans (Dwyer & M.V.Hayden) C.M.Taylor
10838,Apocynaceae,Ochrosia,Ochrosia acuminata,Ochrosia acuminata Trimen ex Valeton
10848,Apocynaceae,Ochrosia,Ochrosia alyxioides,Ochrosia alyxioides Guillaumin
10856,Apocynaceae,Ochrosia,Ochrosia balansae,Ochrosia balansae (Guillaumin) Baill. ex Guillaumin
10859,Apocynaceae,Ochrosia,Ochrosia borbonica,Ochrosia borbonica J.F.Gmel.
10862,Apocynaceae,Ochrosia,Ochrosia coccinea,Ochrosia coccinea (Teijsm. & Binn.) Miq.
10864,Apocynaceae,Ochrosia,Ochrosia compta,Ochrosia compta K.Schum.
10867,Apocynaceae,Ochrosia,Ochrosia elliptica,Ochrosia elliptica Labill.
10886,Apocynaceae,Ochrosia,Ochrosia glomerata,Ochrosia glomerata (Blume) F.Muell.
10892,Apocynaceae,Ochrosia,Ochrosia kilneri,Ochrosia kilneri F.Muell.
10897,Apocynaceae,Ochrosia,Ochrosia lifuana,Ochrosia lifuana Guillaumin
10902,Apocynaceae,Ochrosia,Ochrosia miana,Ochrosia miana Baill. ex Guillaumin
10904,Apocynaceae,Ochrosia,Ochrosia moorei,Ochrosia moorei (F.Muell.) Benth.
10926,Apocynaceae,Ochrosia,Ochrosia mulsantii,Ochrosia mulsantii Montrouz.
10928,Apocynaceae,Ochrosia,Ochrosia oppositifolia,Ochrosia oppositifolia (Lam.) K.Schum.
10932,Apocynaceae,Ochrosia,Ochrosia poweri,Ochrosia poweri F.M.Bailey
10937,Apocynaceae,Ochrosia,Ochrosia silvatica,Ochrosia silvatica Däniker
10940,Apocynaceae,Ochrosia,Ochrosia vitiensis,Ochrosia vitiensis (Markgr.) Pichon
10945,Apocynaceae,Odontadenia,Odontadenia semidigyna,Odontadenia semidigyna (P.J.Bergius) J.F.Morales
10947,Rubiaceae,Oldenlandia,Oldenlandia corymbosa,Oldenlandia corymbosa L.
10968,Rubiaceae,Oldenlandia,Oldenlandia herbacea,Oldenlandia herbacea (L.) Roxb.
10994,Rubiaceae,Oldenlandia,Oldenlandia lactea,Oldenlandia lactea (Willd.) DC.
10995,Rubiaceae,Oldenlandia,Oldenlandia umbellata,Oldenlandia umbellata L.
11000,Apocynaceae,Oncinotis,Oncinotis tenuiloba,Oncinotis tenuiloba Stapf
11006,Rubiaceae,Ophiorrhiza,Ophiorrhiza acuminata,Ophiorrhiza acuminata DC.
11009,Rubiaceae,Ophiorrhiza,Ophiorrhiza blumeana,Ophiorrhiza blumeana Korth.
11014,Rubiaceae,Ophiorrhiza,Ophiorrhiza bracteata,Ophiorrhiza bracteata Korth.
11016,Rubiaceae,Ophiorrhiza,Ophiorrhiza discolor,Ophiorrhiza discolor R.Br. ex G.Don
11018,Rubiaceae,Ophiorrhiza,Ophiorrhiza ferruginea,Ophiorrhiza ferruginea Valeton
11021,Rubiaceae,Ophiorrhiza,Ophiorrhiza filistipula,Ophiorrhiza filistipula Miq.
11026,Rubiaceae,Ophiorrhiza,Ophiorrhiza hayatana,Ophiorrhiza hayatana Ohwi
11033,Rubiaceae,Ophiorrhiza,Ophiorrhiza japonica,Ophiorrhiza japonica Blume
11040,Rubiaceae,Ophiorrhiza,Ophiorrhiza kunstleri,Ophiorrhiza kunstleri King
11043,Rubiaceae,Ophiorrhiza,Ophiorrhiza kuroiwae,Ophiorrhiza kuroiwae Makino
11079,Rubiaceae,Ophiorrhiza,Ophiorrhiza longiflora,Ophiorrhiza longiflora Blume
11080,Rubiaceae,Ophiorrhiza,Ophiorrhiza marginata,Ophiorrhiza marginata Blume
11081,Rubiaceae,Ophiorrhiza,Ophiorrhiza mungos,Ophiorrhiza mungos L.
11085,Rubiaceae,Ophiorrhiza,Ophiorrhiza nutans,Ophiorrhiza nutans C.B.Clarke
11086,Rubiaceae,Ophiorrhiza,Ophiorrhiza pectinata,Ophiorrhiza pectinata Arn.
11087,Rubiaceae,Ophiorrhiza,Ophiorrhiza pumila,Ophiorrhiza pumila Champ. ex Benth.
11127,Rubiaceae,Ophiorrhiza,Ophiorrhiza rosacea,Ophiorrhiza rosacea Ridl.
11128,Rubiaceae,Ophiorrhiza,Ophiorrhiza rosea,Ophiorrhiza rosea Hook.f.
11129,Rubiaceae,Ophiorrhiza,Ophiorrhiza rugosa,Ophiorrhiza rugosa Wall.
11131,Rubiaceae,Ophiorrhiza,Ophiorrhiza shendurunii,"Ophiorrhiza shendurunii A.E.S.Khan, E.S.S.Kumar & Pushp."
11132,Apocynaceae,Orbea,Orbea variegata,Orbea variegata (L.) Haw.
11163,Gentianaceae,Orphium,Orphium frutescens,Orphium frutescens (L.) E.Mey.
11168,Apocynaceae,Orthanthera,Orthanthera viminea,Orthanthera viminea Wight
11171,Apocynaceae,Orthosia,Orthosia guilleminiana,Orthosia guilleminiana (Decne.) Liede & Meve
11213,Rubiaceae,Oxyanthus,Oxyanthus pallidus,Oxyanthus pallidus Hiern
11215,Rubiaceae,Oxyanthus,Oxyanthus pyriformis,Oxyanthus pyriformis (Hochst.) Skeels
11218,Rubiaceae,Oxyanthus,Oxyanthus speciosus,Oxyanthus speciosus DC.
11221,Rubiaceae,Oxyceros,Oxyceros horridus,Oxyceros horridus Lour.
11227,Apocynaceae,Oxystelma,Oxystelma esculentum,Oxystelma esculentum (L.f.) Sm.
11240,Rubiaceae,Paederia,Paederia foetida,Paederia foetida L.
11273,Rubiaceae,Palicourea,Palicourea acuminata,Palicourea acuminata (Benth.) Borhidi
11279,Rubiaceae,Palicourea,Palicourea adusta,Palicourea adusta Standl.
11282,Rubiaceae,Palicourea,Palicourea alpina,Palicourea alpina (Sw.) DC.
11285,Rubiaceae,Palicourea,Palicourea colorata,Palicourea colorata (Hoffmanns. ex Willd.) Delprete & J.H.Kirkbr.
11295,Rubiaceae,Palicourea,Palicourea coriacea,Palicourea coriacea (Cham.) K.Schum.
11305,Rubiaceae,Palicourea,Palicourea correae,Palicourea correae (Dwyer & M.V.Hayden) Borhidi
11319,Rubiaceae,Palicourea,Palicourea crocea,Palicourea crocea (Sw.) Schult.
11321,Rubiaceae,Palicourea,Palicourea croceoides,Palicourea croceoides Ham.
11322,Rubiaceae,Palicourea,Palicourea cyanococca,Palicourea cyanococca (Seem. ex Dombrain) Borhidi
11325,Rubiaceae,Palicourea,Palicourea dichroa,Palicourea dichroa (Standl.) Borhidi
11331,Rubiaceae,Palicourea,Palicourea elata,Palicourea elata (Sw.) Borhidi
11332,Rubiaceae,Palicourea,Palicourea glomerulata,Palicourea glomerulata (Donn.Sm.) Borhidi
11335,Rubiaceae,Palicourea,Palicourea hoffmannseggiana,Palicourea hoffmannseggiana (Willd. ex Schult.) Borhidi
11338,Rubiaceae,Palicourea,Palicourea lasiantha,Palicourea lasiantha K.Krause
11352,Rubiaceae,Palicourea,Palicourea marcgravii,Palicourea marcgravii A.St.-Hil.
11354,Rubiaceae,Palicourea,Palicourea muscosa,Palicourea muscosa (Jacq.) Delprete & J.H.Kirkbr.
11357,Rubiaceae,Palicourea,Palicourea padifolia,Palicourea padifolia (Willd. ex Schult.) C.M.Taylor & Lorence
11359,Rubiaceae,Palicourea,Palicourea prunifolia,Palicourea prunifolia (Kunth) Borhidi
11360,Rubiaceae,Palicourea,Palicourea rigida,Palicourea rigida Kunth
11361,Rubiaceae,Palicourea,Palicourea semirasa,Palicourea semirasa Standl.
11363,Rubiaceae,Palicourea,Palicourea sessilis,Palicourea sessilis (Vell.) C.M.Taylor
11364,Rubiaceae,Palicourea,Palicourea suerrensis,Palicourea suerrensis (Donn.Sm.) Borhidi
11365,Rubiaceae,Palicourea,Palicourea tsakiana,Palicourea tsakiana (C.M.Taylor) C.M.Taylor
11368,Rubiaceae,Palicourea,Palicourea winkleri,Palicourea winkleri Borhidi
11371,Apocynaceae,Parahancornia,Parahancornia amara,Parahancornia amara (Markgr.) Monach.
11377,Apocynaceae,Parahancornia,Parahancornia fasciculata,Parahancornia fasciculata (Poir.) Benoist
11384,Apocynaceae,Parepigynum,Parepigynum funingense,Parepigynum funingense Tsiang & P.T.Li
11400,Apocynaceae,Parsonsia,Parsonsia alboflavescens,Parsonsia alboflavescens (Dennst.) Mabb.
11422,Apocynaceae,Parsonsia,Parsonsia eucalyptophylla,Parsonsia eucalyptophylla F.Muell.
11423,Apocynaceae,Parsonsia,Parsonsia heterophylla,Parsonsia heterophylla A.Cunn.
11424,Apocynaceae,Parsonsia,Parsonsia straminea,Parsonsia straminea (R.Br.) F.Muell.
11425,Rubiaceae,Pauridiantha,Pauridiantha liebrechtsiana,Pauridiantha liebrechtsiana (De Wild. & T.Durand) Ntore & Dessein
11427,Rubiaceae,Pauridiantha,Pauridiantha paucinervis,Pauridiantha paucinervis (Hiern) Bremek.
11430,Rubiaceae,Pavetta,Pavetta indica,Pavetta indica L.
11437,Rubiaceae,Pavetta,Pavetta owariensis,Pavetta owariensis P.Beauv.
11458,Rubiaceae,Pentagonia,Pentagonia gigantifolia,Pentagonia gigantifolia Ducke
11461,Apocynaceae,Pentalinon,Pentalinon andrieuxii,Pentalinon andrieuxii (Müll.Arg.) B.F.Hansen & Wunderlin
11463,Apocynaceae,Pentalinon,Pentalinon luteum,Pentalinon luteum (L.) B.F.Hansen & Wunderlin
11466,Rubiaceae,Pentanisia,Pentanisia prunelloides,Pentanisia prunelloides (Klotzsch) Walp.
11468,Rubiaceae,Pentas,Pentas lanceolata,Pentas lanceolata (Forssk.) Deflers
11476,Rubiaceae,Pentas,Pentas micrantha,Pentas micrantha Baker
11478,Rubiaceae,Pentas,Pentas suswaensis,Pentas suswaensis Verdc.
11483,Apocynaceae,Pergularia,Pergularia daemia,Pergularia daemia (Forssk.) Chiov.
11488,Apocynaceae,Pergularia,Pergularia tomentosa,Pergularia tomentosa L.
11515,Apocynaceae,Periploca,Periploca aphylla,Periploca aphylla Decne.
11523,Apocynaceae,Periploca,Periploca calophylla,Periploca calophylla (Wight) Falc.
11527,Apocynaceae,Periploca,Periploca forrestii,Periploca forrestii Schltr.
11559,Apocynaceae,Periploca,Periploca graeca,Periploca graeca L.
11578,Apocynaceae,Periploca,Periploca laevigata,Periploca laevigata Aiton
11592,Apocynaceae,Periploca,Periploca sepium,Periploca sepium Bunge
11678,Apocynaceae,Petchia,Petchia ceylanica,Petchia ceylanica (Wight) Livera
11691,Apocynaceae,Petchia,Petchia erythrocarpa,Petchia erythrocarpa (Vatke) Leeuwenb.
11698,Apocynaceae,Petchia,Petchia madagascariensis,Petchia madagascariensis (A.DC.) Leeuwenb.
11706,Apocynaceae,Picralima,Picralima nitida,Picralima nitida (Stapf) T.Durand & H.Durand
11722,Apocynaceae,Pleiocarpa,Pleiocarpa mutica,Pleiocarpa mutica Benth.
11734,Apocynaceae,Pleiocarpa,Pleiocarpa pycnantha,Pleiocarpa pycnantha (K.Schum.) Stapf
11746,Rubiaceae,Plocama,Plocama calabrica,Plocama calabrica (L.f.) M.Backlund & Thulin
11768,Rubiaceae,Plocama,Plocama pendula,Plocama pendula Aiton
11820,Apocynaceae,Plumeria,Plumeria alba,Plumeria alba L.
11826,Apocynaceae,Plumeria,Plumeria obtusa,Plumeria obtusa L.
11885,Apocynaceae,Plumeria,Plumeria rubra,Plumeria rubra L.
11995,Rubiaceae,Pogonopus,Pogonopus speciosus,Pogonopus speciosus (Jacq.) K.Schum.
12001,Rubiaceae,Pogonopus,Pogonopus tubulosus,Pogonopus tubulosus (A.Rich. ex DC.) K.Schum.
12006,Rubiaceae,Posoqueria,Posoqueria latifolia,Posoqueria latifolia (Rudge) Schult.
12008,Gentianaceae,Potalia,Potalia amara,Potalia amara Aubl.
12013,Apocynaceae,Prestonia,Prestonia amazonica,Prestonia amazonica (Benth. ex Müll.Arg.) J.F.Macbr.
12014,Rubiaceae,Prismatomeris,Prismatomeris fragrans,Prismatomeris fragrans E.T.Geddes
12019,Rubiaceae,Prismatomeris,Prismatomeris sessiliflora,Prismatomeris sessiliflora Pierre ex Pit.
12021,Rubiaceae,Prismatomeris,Prismatomeris tetrandra,Prismatomeris tetrandra (Roxb.) K.Schum.
12033,Rubiaceae,Psychotria,Psychotria adenophylla,Psychotria adenophylla Wall.
12037,Rubiaceae,Psychotria,Psychotria asiatica,Psychotria asiatica L.
12040,Rubiaceae,Psychotria,Psychotria bahiensis,Psychotria bahiensis DC.
12047,Rubiaceae,Psychotria,Psychotria brachyceras,Psychotria brachyceras Müll.Arg.
12049,Rubiaceae,Psychotria,Psychotria calocarpa,Psychotria calocarpa Kurz
12050,Rubiaceae,Psychotria,Psychotria horizontalis,Psychotria horizontalis Sw.
12051,Rubiaceae,Psychotria,Psychotria leiocarpa,Psychotria leiocarpa Cham. & Schltdl.
12052,Rubiaceae,Psychotria,Psychotria malayana,Psychotria malayana Jack
12054,Rubiaceae,Psychotria,Psychotria manillensis,Psychotria manillensis Bartl. ex DC.
12055,Rubiaceae,Psychotria,Psychotria milnei,Psychotria milnei (A.Gray) K.Schum.
12063,Rubiaceae,Psychotria,Psychotria nervosa,Psychotria nervosa Sw.
12064,Rubiaceae,Psychotria,Psychotria punctata,Psychotria punctata Vatke
12065,Rubiaceae,Psychotria,Psychotria serpens,Psychotria serpens L.
12069,Rubiaceae,Psychotria,Psychotria suterella,Psychotria suterella Müll.Arg.
12072,Rubiaceae,Psychotria,Psychotria viridis,Psychotria viridis Ruiz & Pav.
12078,Rubiaceae,Psydrax,Psydrax dicoccos,Psydrax dicoccos Gaertn.
12080,Rubiaceae,Psydrax,Psydrax lividus,Psydrax lividus (Hiern) Bridson
12085,Rubiaceae,Psydrax,Psydrax schimperianus,Psydrax schimperianus (A.Rich.) Bridson
12088,Rubiaceae,Psydrax,Psydrax splendens,Psydrax splendens (K.Schum.) Bridson
12089,Rubiaceae,Psydrax,Psydrax subcordatus,Psydrax subcordatus (DC.) Bridson
12097,Rubiaceae,Pyrostria,Pyrostria major,Pyrostria major (A.Rich. ex DC.) Kainul. & Razafim.
12108,Apocynaceae,Rauvolfia,Rauvolfia bahiensis,Rauvolfia bahiensis A.DC.
12123,Apocynaceae,Rauvolfia,Rauvolfia balansae,Rauvolfia balansae (Baill.) Boiteau
12135,Apocynaceae,Rauvolfia,Rauvolfia biauriculata,Rauvolfia biauriculata Müll.Arg.
12143,Apocynaceae,Rauvolfia,Rauvolfia caffra,Rauvolfia caffra Sond.
12179,Apocynaceae,Rauvolfia,Rauvolfia cambodiana,Rauvolfia cambodiana Pierre ex Pit.
12185,Apocynaceae,Rauvolfia,Rauvolfia cubana,Rauvolfia cubana A.DC.
12191,Apocynaceae,Rauvolfia,Rauvolfia grandiflora,Rauvolfia grandiflora Mart. ex A.DC.
12198,Apocynaceae,Rauvolfia,Rauvolfia hookeri,Rauvolfia hookeri S.R.Sriniv. & Chithra
12199,Apocynaceae,Rauvolfia,Rauvolfia ligustrina,Rauvolfia ligustrina Roem. & Schult.
12201,Apocynaceae,Rauvolfia,Rauvolfia linearifolia,Rauvolfia linearifolia Britton & P.Wilson
12203,Apocynaceae,Rauvolfia,Rauvolfia littoralis,Rauvolfia littoralis Rusby
12211,Apocynaceae,Rauvolfia,Rauvolfia mannii,Rauvolfia mannii Stapf
12242,Apocynaceae,Rauvolfia,Rauvolfia mattfeldiana,Rauvolfia mattfeldiana Markgr.
12246,Apocynaceae,Rauvolfia,Rauvolfia media,Rauvolfia media Pichon
12251,Apocynaceae,Rauvolfia,Rauvolfia mombasiana,Rauvolfia mombasiana Stapf
12261,Apocynaceae,Rauvolfia,Rauvolfia nitida,Rauvolfia nitida Jacq.
12269,Apocynaceae,Rauvolfia,Rauvolfia obscura,Rauvolfia obscura K.Schum.
12271,Apocynaceae,Rauvolfia,Rauvolfia salicifolia,Rauvolfia salicifolia Griseb.
